110001	11
110002	21
110003	21
110004	21
110005	21
110006	21
110007	21
110008	21
110010	21
110011	21
110012	28
110013	28
110014	28
110015	28
110016	28
110017	28
110018	28
110019	28
110020	28
110021	28
110022	22
110023	34
110024	34
110025	34
110026	34
110027	34
110028	34
110029	34
110030	34
110031	34
110032	34
110033	34
110034	89
110035	89
110036	89
110037	89
110038	89
110039	89
110040	89
110041	89
110042	89
110043	89
110044	89
110045	89
110046	43
110047	43
110048	43
110049	43
110051	43
110052	43
110053	43
110054	43
110055	43
110056	43
110057	43
110058	43
110059	43
110060	43
110061	43
110062	43
110063	43
110064	43
110065	43
110066	43
110067	43
110071	43
110072	43
110073	43
110075	43
110081	43
110082	67
110083	67
110084	67
110085	67
110091	67
110092	67
110093	67
110094	67
110096	67
121001	11
121002	67
121003	67
121004	67
121005	67
121006	67
121007	67
121101	67
121102	67
121103	67
121104	67
121105	67
121106	67
121107	67
122001	11
122005	78
122015	78
122016	78
122050	78
122101	78
122102	78
122103	78
122104	78
122105	78
122106	78
122107	78
122108	78
122109	78
122211	78
123001	11
123020	78
123021	89
123022	12
123023	12
123024	12
123025	12
123026	12
123027	12
123028	12
123029	12
123034	12
123035	12
123101	12
123102	12
123103	12
123201	12
123301	12
123302	12
123303	12
123304	12
123305	10
123307	10
123308	10
123309	10
123310	10
123401	10
123411	10
123412	10
123413	9
123414	9
123501	10
123502	9
123503	9
123504	9
123505	9
123506	9
123507	9
123508	9
124001	9
124002	9
124003	9
124004	7
124005	7
124006	7
124007	7
124008	7
124021	7
124022	7
124023	7
124024	7
124025	3
124026	3
124027	3
124028	3
124029	3
124030	4
124031	4
124101	4
124102	4
124103	4
124104	4
124105	5
124107	5
124108	5
124109	5
124110	5
124111	5
124112	5
124113	5
124114	5
124116	5
124117	5
124118	3
124119	3
124120	3
124121	3
124122	3
124123	3
124124	3
124125	3
124126	3
124127	3
124128	3
124129	3
124130	3
124131	3
124132	2
124133	2
124134	2
124135	2
124136	2
124137	2
124138	2
124139	2
124140	2
124141	2
124201	2
124202	2
124203	1
124204	1
124205	1
124301	1
124302	1
124303	1
124304	1
124305	1
124306	1
124307	1
124308	1
